"date","text","emotion"
"Date:1/19/2022","It was awesome I went to the garden and played with my friends","happiness"
"Date:1/19/2022","It was great","happiness"
"Date:1/19/2022","It was raining today , I cannot go to school","worry"  
"Date:6/4/2023","It was very sad day","sadness"     
"Date:6/4/2023","It was a great day","happiness"     
"Date:6/4/2023","It was nice day","happiness"     
"Date:6/4/2023","It was boring","neutral"
"Date:6/4/2023","It was awesome","happiness"
"Date:6/4/2023","It was not much better","neutral"
"Date:6/4/2023","it was boring","neutral"
"Date:6/4/2023","it was boring","neutral"
"Date:6/4/2023","it was aweful","worry"
